Video name,Our GT caption,Style Change Caption,Object Change Caption,Background Change Caption,Multiple Changes Caption,Source
DAVIS Videos:,,,,,,
gold-fish,Several goldfish swim in a tank.,"Several goldfish swim in a tank, impressionist style.",Several sharks swim in a tank.,Several goldfish swim in a pond.,"Several koi fish swim in a pond, rainbow color scheme.",
drift-turn,A car drifts on a racetrack.,"A car drifts on a racetrack, neon lights.",A tuk tuk drifts on a racetrack.,A car drifts on a snowy road.,"A truck drifts on a muddy off-road track, sepia-toned.",
lindy-hop,Several people lindy hop dance in a school gym.,"Several people lindy hop dance in a school gym, sepia-toned photo.",Several people breakdance in a school gym.,Several people lindy hop dance in a fancy marble ballroom.,"Several people breakdance in a marble ballroom, neon lights style.",
miami-surf,Several people ride surfboards in the ocean.,Several people ride motorcycles in the pink ocean.,Several people ride boogie boards on a concrete skate park.,Several people ride surfboards in a wave pool.,"Several people ride kayaks in a river, aerial view.",
bmx-rider,A person does a trick on a BMX bike at a skatepark.,"A person does a trick on a BMX bike at a skatepark, grayscale.",A person does a trick on a unicycle at a skatepark.,A person does a trick on a BMX bike at a snow covered park in Antarctica.,"A person does a trick on a skateboard at a beach skate park, vintage style.",
dog-competition,Dog jumps over a bar.,"Dog jumps over a bar, high-contrast style.",Rabbit jumps over a bar.,Dog jumps over a bar in outer space.,"Kangaroo jumps over a bar in a park, black and white.",
hurdles-race,Women jump over hurdles on a racetrack.,"Women jump over hurdles on a racetrack, Claymation style.",Men jump over hurdles on a racetrack.,Women jump over hurdles under a flying saucer.,"Teddy bears jump over hurdles on a racetrack, vibrant colors.",
ice-hockey,People play hockey on an ice rink.,"People play hockey on an ice rink, brightly colored cyberpunk style.",Cartoon characters play hockey on an ice rink.,People play hockey on the cracked mud floor of the Mojave desert.,"People play broomball on an ice rink, nighttime lighting.",
judo,Two people perform judo on a tatami mat.,"Two people perform judo on a tatami mat, vintage style.",Two tabby cats perform judo on a tatami mat.,Two people perform judo in the Grand Canyon.,Two people perform jiu-jitsu in the Grand Canyon vintage style.,
juggling-selfie,A man juggles in the street.,A robotic man juggles in the street.,A man juggles watermelons in the street.,A man juggles in Times Square.,"A robotic man juggles in Times Square, split-toning effect.",
loading,Two men load a box onto a cart inside a store.,"Two men load a box onto a cart inside a store, security camera view.",Two men load a giant GPU onto a cart inside a store.,Two men load a box onto a cart on a snow covered road.,Two women load a giant GPU onto a cart on a snow-covered road.,
mbike-trick,A person on a motorcycle does a burnout on the road.,"A person on a motorcycle does a burnout on the road, neon color style.",A person on a bicycle does a wheelie on the road.,A person on a motorcycle does a burnout on a frozen lake.,"A person on a scooter does a burnout on a frozen lake, sepia tone.",
stunt,A man does a trick with a scooter at a skatepark.,"A man does a trick with a scooter at a skatepark, vermeer painting style.",A man does a trick with a skateboard at a skatepark.,A man does a trick with a scooter in a wooded field.,"A woman does a trick with a scooter at a skatepark, vermeer painting style.",
swimmer,A man dives into a pool with tall buildings in the background.,"A man dives into a pool with tall buildings in the background, silhouette style.",A furry rabbit dives into a pool with tall buildings in the background.,A man dives into a lake in a natural setting.,"A furry rabbit jumps into a pool with tall buildings in the background, vibrant colors.",
trucks-race,Trucks drive on a racetrack.,"Trucks drive on a racetrack, autumn, fall colors.",Wooden trucks drive on a racetrack.,Trucks drive on a wooden kitchen table.,"Monster trucks race on a dirt track, autumn, fall colors.",
varanus-cage,A varanus lizard walks on a log.,"A varanus lizard walks on a log, oil painting.",A rainbow colored squirrel walks on a log.,A varanus lizard walks on an Arizona rock.,"A rainbow colored squirrel walks on an Arizona rock, oil painting.",
,,,,,,
Youtube Videos:,,,,,,
basketball-players-scoring,Two basketball players coordinate with each other and score.,"Two basketball players coordinate with each other and score, vintage style.",Two basketball players coordinate with each other shoot a teddy bear toy into the basket.,Two basketball players coordinate in a street game.,"Two basketball players coordinate in a beach game, black and white.",https://www.youtube.com/watch?v=cQXr4n90bDU
basketball-shot,Tap Nixon shooting a basketball while another man helps him.,"Tap Nixon shooting a basketball while another man helps him, claymation style",Tap Nixon shooting a rocket while another man helps him.,Tap Nixon shooting a basketball on Mars.,"Tap Nixon shooting a basketball while a woman helps him, high-contrast style.",https://www.youtube.com/watch?v=3YgKRByS6y4
squirrel-climb,The squirrel is climbing down a tree in a wooded park.  ,"The squirrel is climbing down a tree in a wooded park, Van Gogh style.",The cute yellow leopard is climbing down a tree in a wooded park.  ,The squirrel is climbing down a tree in a forest of cherry blossoms.,"The squirrel is climbing up a tree in a wooded park, soft-focus style.",https://www.youtube.com/watch?v=8N4n_mhyOok
airbrush-painting,Man airbrush painting a horse on a wall.,"Man airbrush painting a horse on a wall, very realistic.",Man airbrush painting a turtle on a wall.,Man airbrush painting a horse on a car.,"Man airbrush painting a turtle on a wall, very realistic.",https://www.youtube.com/watch?v=rV6Ik-fjtIc
cat-dog-play,A cat and a dog playing on the street while a girl walks around them.,"A cat and a dog playing on the street while a girl walks around them, soft focus style.",A beaver and a skunk playing in the street while a girl walks around them.,A cat and a dog playing on the grass while a girl walks around them.,"A cat and a dog playing on the beach while a girl walks around them, golden hour lighting.",https://www.youtube.com/watch?v=b-2YIy5aQfA
street-instrument,Woman street artist plays an musical instrument.,"Woman street artist plays a musical instrument, iron man style.",Woman street artist sings a song.,Woman plays a musical instrument indoors.,"Woman street artist plays a musical instrument indoors, iron man style.",https://www.youtube.com/watch?v=sArh5Yy2sy0
dirt-road-driving,A car driving on the dirt road.,"A car driving on the dirt road, dust cloud effect.",A monster truck driving on the dirt road.,A car driving on a birthday cake,"A spaceship driving on the dirt road during a rainy day, dramatic sky.",https://www.youtube.com/watch?v=-tVocObQZ1c
circus-ball-act,"Circus man shows a round transparent ball, walking before the audience.","Circus man shows a round transparent ball, walking before the audience, spotlight effect.","Circus man juggles balls, walking before the audience.",Circus man performs with a transparent ball in a field of orange poppy flowers.,"Circus panda bear shows a round transparent ball, walking before the audience, claymation style.",https://www.youtube.com/watch?v=cU5vJ6SaBxg
audi-snow-trail,An Audi Q7 goes on a snow trail.,"An Audi Q7 goes on a snow trail, anime style.",A BMW X5 goes on a snow trail,An Audi Q7 goes on a desert trail.,"An Audi Q7 goes on a snow trail, aerial view with snow-capped mountains in the background.",https://www.youtube.com/watch?v=7QbJZ6HYTfc
horse-jump-canter,A horse canters through an obstacle.,"A horse canters through an obstacle, flat design, vector art. ",A horse canters through a dense field of cacti.,A horse canters through an obstacle on Mars.,An astronaut rides a horse on Mars.,https://www.youtube.com/watch?v=c85OR2VEhyA
